,Date,ClosingPrice,Temperature
0,"Jan 01, 2015",10933,33.0
1,"Jan 02, 2015",10839,39.0
2,"Jan 05, 2015",10831,42.0
3,"Jan 06, 2015",10608,22.0
4,"Jan 07, 2015",10515,22.0
5,"Jan 08, 2015",10627,14.0
6,"Jan 09, 2015",10801,26.0
7,"Jan 12, 2015",10711,36.0
8,"Jan 13, 2015",10641,32.0
9,"Jan 14, 2015",10623,25.0
10,"Jan 15, 2015",10565,31.0
11,"Jan 16, 2015",10515,34.0
12,"Jan 19, 2015",10515,40.0
13,"Jan 20, 2015",10660,39.0
14,"Jan 21, 2015",10659,32.0
15,"Jan 22, 2015",10720,35.0
16,"Jan 23, 2015",10859,33.0
17,"Jan 26, 2015",10788,28.0
18,"Jan 27, 2015",10847,25.0
19,"Jan 28, 2015",10782,24.0
20,"Jan 29, 2015",10604,25.0
21,"Jan 30, 2015",10692,35.0
22,"Feb 02, 2015",10537,31.0
23,"Feb 03, 2015",10669,20.0
24,"Feb 04, 2015",10847,31.0
25,"Feb 05, 2015",10775,32.0
26,"Feb 06, 2015",10896,19.0
27,"Feb 09, 2015",10848,28.0
28,"Feb 10, 2015",10827,30.0
29,"Feb 11, 2015",10915,29.0
30,"Feb 12, 2015",10889,31.0
31,"Feb 13, 2015",10995,18.0
32,"Feb 16, 2015",10995,12.0
33,"Feb 17, 2015",11043,20.0
34,"Feb 18, 2015",11054,23.0
35,"Feb 19, 2015",11064,22.0
36,"Feb 20, 2015",11038,11.0
37,"Feb 23, 2015",11109,29.0
38,"Feb 24, 2015",11075,14.0
39,"Feb 25, 2015",11122,28.0
40,"Feb 26, 2015",11118,27.0
41,"Feb 27, 2015",11082,25.0
42,"Mar 02, 2015",11063,33.0
43,"Mar 03, 2015",11103,29.0
44,"Mar 04, 2015",11051,37.0
45,"Mar 05, 2015",11005,32.0
46,"Mar 06, 2015",11014,20.0
47,"Mar 09, 2015",10842,42.0
48,"Mar 10, 2015",10867,42.0
49,"Mar 11, 2015",10678,49.0
50,"Mar 12, 2015",10679,47.0
51,"Mar 13, 2015",10821,37.0
52,"Mar 16, 2015",10751,41.0
53,"Mar 17, 2015",10881,47.0
54,"Mar 18, 2015",10862,35.0
55,"Mar 19, 2015",11020,35.0
56,"Mar 20, 2015",10931,35.0
57,"Mar 23, 2015",11071,32.0
58,"Mar 24, 2015",11071,34.0
59,"Mar 25, 2015",11020,38.0
60,"Mar 26, 2015",10898,46.0
61,"Mar 27, 2015",10865,45.0
62,"Mar 30, 2015",10875,42.0
63,"Mar 31, 2015",10989,44.0
64,"Apr 01, 2015",10899,42.0
65,"Apr 02, 2015",10892,46.0
66,"Apr 03, 2015",10892,50.0
67,"Apr 06, 2015",10953,49.0
68,"Apr 07, 2015",11033,51.0
69,"Apr 08, 2015",11013,45.0
70,"Apr 09, 2015",11033,40.0
71,"Apr 10, 2015",11065,44.0
72,"Apr 13, 2015",11113,51.0
73,"Apr 14, 2015",11057,56.0
74,"Apr 15, 2015",11108,60.0
75,"Apr 16, 2015",11171,56.0
76,"Apr 17, 2015",11170,56.0
77,"Apr 20, 2015",11058,51.0
78,"Apr 21, 2015",11117,58.0
79,"Apr 22, 2015",11100,55.0
80,"Apr 23, 2015",11144,48.0
81,"Apr 24, 2015",11191,44.0
82,"Apr 27, 2015",11193,55.0
83,"Apr 28, 2015",11167,58.0
84,"Apr 29, 2015",11203,63.0
85,"Apr 30, 2015",11154,55.0
86,"May 01, 2015",11050,51.0
87,"May 04, 2015",11140,60.0
88,"May 05, 2015",11173,67.0
89,"May 06, 2015",11049,65.0
90,"May 07, 2015",11016,61.0
91,"May 08, 2015",11036,60.0
92,"May 11, 2015",11197,68.0
93,"May 12, 2015",11141,73.0
94,"May 13, 2015",11113,66.0
95,"May 14, 2015",11117,60.0
96,"May 15, 2015",11207,61.0
97,"May 18, 2015",11228,63.0
98,"May 19, 2015",11228,63.0
99,"May 20, 2015",11213,63.0
100,"May 21, 2015",11210,56.0
101,"May 22, 2015",11240,63.0
102,"May 25, 2015",11240,66.0
103,"May 26, 2015",11198,68.0
104,"May 27, 2015",11065,66.0
105,"May 28, 2015",11143,66.0
106,"May 29, 2015",11133,71.0
107,"Jun 01, 2015",11056,62.0
108,"Jun 02, 2015",11062,53.0
109,"Jun 03, 2015",11081,58.0
110,"Jun 04, 2015",11108,59.0
111,"Jun 05, 2015",11000,60.0
112,"Jun 08, 2015",10979,66.0
113,"Jun 09, 2015",10918,70.0
114,"Jun 10, 2015",10916,74.0
115,"Jun 11, 2015",11058,75.0
116,"Jun 12, 2015",11081,78.0
117,"Jun 15, 2015",11010,72.0
118,"Jun 16, 2015",10950,69.0
119,"Jun 17, 2015",10998,74.0
120,"Jun 18, 2015",11014,67.0
121,"Jun 19, 2015",11100,75.0
122,"Jun 22, 2015",11039,82.0
123,"Jun 23, 2015",11130,79.0
124,"Jun 24, 2015",11149,79.0
125,"Jun 25, 2015",11066,75.0
126,"Jun 26, 2015",11036,74.0
127,"Jun 29, 2015",11040,72.0
128,"Jun 30, 2015",10790,73.0
129,"Jul 01, 2015",10805,77.0
130,"Jul 02, 2015",10859,76.0
131,"Jul 03, 2015",10859,73.0
132,"Jul 06, 2015",10865,75.0
133,"Jul 07, 2015",10783,78.0
134,"Jul 08, 2015",10829,80.0
135,"Jul 09, 2015",10637,75.0
136,"Jul 10, 2015",10690,77.0
137,"Jul 13, 2015",10854,77.0
138,"Jul 14, 2015",10945,76.0
139,"Jul 15, 2015",10993,77.0
140,"Jul 16, 2015",10959,73.0
141,"Jul 17, 2015",11025,72.0
142,"Jul 20, 2015",10987,86.0
143,"Jul 21, 2015",10969,84.0
144,"Jul 22, 2015",10919,80.0
145,"Jul 23, 2015",10900,79.0
146,"Jul 24, 2015",10841,78.0
147,"Jul 27, 2015",10722,78.0
148,"Jul 28, 2015",10657,80.0
149,"Jul 29, 2015",10790,84.0
150,"Jul 30, 2015",10884,79.0
151,"Jul 31, 2015",10882,82.0
152,"Aug 03, 2015",10882,79.0
153,"Aug 04, 2015",10841,81.0
154,"Aug 05, 2015",10825,82.0
155,"Aug 06, 2015",10848,77.0
156,"Aug 07, 2015",10799,77.0
157,"Aug 10, 2015",10763,75.0
158,"Aug 11, 2015",10906,76.0
159,"Aug 12, 2015",10802,79.0
160,"Aug 13, 2015",10779,77.0
161,"Aug 14, 2015",10745,77.0
162,"Aug 17, 2015",10782,81.0
163,"Aug 18, 2015",10819,80.0
164,"Aug 19, 2015",10793,80.0
165,"Aug 20, 2015",10687,81.0
166,"Aug 21, 2015",10476,79.0
167,"Aug 24, 2015",10196,77.0
168,"Aug 25, 2015",9790,79.0
169,"Aug 26, 2015",9692,77.0
170,"Aug 27, 2015",9980,75.0
171,"Aug 28, 2015",10231,73.0
172,"Aug 31, 2015",10242,81.0
173,"Sep 01, 2015",10176,81.0
174,"Sep 02, 2015",9875,78.0
175,"Sep 03, 2015",10013,81.0
176,"Sep 04, 2015",10049,78.0
177,"Sep 07, 2015",10049,76.0
178,"Sep 08, 2015",9872,80.0
179,"Sep 09, 2015",10110,79.0
180,"Sep 10, 2015",9989,76.0
181,"Sep 11, 2015",10019,73.0
182,"Sep 14, 2015",10040,68.0
183,"Sep 15, 2015",9989,72.0
184,"Sep 16, 2015",10106,74.0
185,"Sep 17, 2015",10237,74.0
186,"Sep 18, 2015",10216,74.0
187,"Sep 21, 2015",10032,66.0
188,"Sep 22, 2015",10066,67.0
189,"Sep 23, 2015",9913,68.0
190,"Sep 24, 2015",9868,69.0
191,"Sep 25, 2015",9838,68.0
192,"Sep 28, 2015",9857,68.0
193,"Sep 29, 2015",9601,73.0
194,"Sep 30, 2015",9622,73.0
195,"Oct 01, 2015",9800,60.0
196,"Oct 02, 2015",9821,54.0
197,"Oct 05, 2015",9974,58.0
198,"Oct 06, 2015",10168,61.0
199,"Oct 07, 2015",10156,64.0
200,"Oct 08, 2015",10259,63.0
201,"Oct 09, 2015",10361,66.0
202,"Oct 12, 2015",10361,62.0
203,"Oct 13, 2015",10356,66.0
204,"Oct 14, 2015",10263,64.0
205,"Oct 15, 2015",10230,59.0
206,"Oct 16, 2015",10378,60.0
207,"Oct 19, 2015",10422,43.0
208,"Oct 20, 2015",10392,56.0
209,"Oct 21, 2015",10383,61.0
210,"Oct 22, 2015",10306,61.0
211,"Oct 23, 2015",10449,60.0
212,"Oct 26, 2015",10507,52.0
213,"Oct 27, 2015",10465,51.0
214,"Oct 28, 2015",10400,58.0
215,"Oct 29, 2015",10538,67.0
216,"Oct 30, 2015",10498,57.0
217,"Nov 02, 2015",10461,59.0
218,"Nov 03, 2015",10580,57.0
219,"Nov 04, 2015",10610,60.0
220,"Nov 05, 2015",10564,60.0
221,"Nov 06, 2015",10548,65.0
222,"Nov 09, 2015",10513,50.0
223,"Nov 10, 2015",10415,57.0
224,"Nov 11, 2015",10432,54.0
225,"Nov 12, 2015",10400,56.0
226,"Nov 13, 2015",10236,57.0
227,"Nov 16, 2015",10155,56.0
228,"Nov 17, 2015",10299,49.0
229,"Nov 18, 2015",10286,51.0
230,"Nov 19, 2015",10430,60.0
231,"Nov 20, 2015",10431,59.0
232,"Nov 23, 2015",10444,42.0
233,"Nov 24, 2015",10421,39.0
234,"Nov 25, 2015",10450,42.0
235,"Nov 26, 2015",10450,46.0
236,"Nov 27, 2015",10450,54.0
237,"Nov 30, 2015",10451,42.0
238,"Dec 01, 2015",10410,49.0
239,"Dec 02, 2015",10520,50.0
240,"Dec 03, 2015",10389,52.0
241,"Dec 04, 2015",10257,47.0
242,"Dec 07, 2015",10409,47.0
243,"Dec 08, 2015",10305,46.0
244,"Dec 09, 2015",10198,45.0
245,"Dec 10, 2015",10162,54.0
246,"Dec 11, 2015",10172,52.0
247,"Dec 14, 2015",9977,55.0
248,"Dec 15, 2015",9987,60.0
249,"Dec 16, 2015",10111,51.0
250,"Dec 17, 2015",10268,54.0
251,"Dec 18, 2015",10113,51.0
252,"Dec 21, 2015",9968,46.0
253,"Dec 22, 2015",10023,55.0
254,"Dec 23, 2015",10112,54.0
255,"Dec 24, 2015",10276,62.0
256,"Dec 25, 2015",10276,59.0
257,"Dec 28, 2015",10259,45.0
258,"Dec 29, 2015",10217,42.0
259,"Dec 30, 2015",10307,43.0
260,"Dec 31, 2015",10226,47.0
