datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
1/1/2011 10:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36
1/3/2011 4:00,1,0,1,1,6.56,6.82,47,26.0027,0,1,1
1/3/2011 5:00,1,0,1,1,6.56,6.82,47,19.0012,0,3,3
1/3/2011 22:00,1,0,1,1,5.74,7.575,69,8.9981,0,20,20
1/4/2011 13:00,1,0,1,1,9.84,11.365,56,12.998,18,79,97
1/5/2011 2:00,1,0,1,1,6.56,9.85,74,6.0032,0,2,2
1/5/2011 13:00,1,0,1,1,11.48,12.88,30,19.9995,6,65,71
1/5/2011 20:00,1,0,1,1,9.02,11.365,47,11.0014,7,82,89
1/7/2011 0:00,1,0,1,2,8.2,9.85,64,12.998,4,13,17
1/7/2011 14:00,1,0,1,2,8.2,9.85,40,16.9979,7,43,50
1/8/2011 5:00,1,0,0,2,6.56,8.335,74,11.0014,0,5,5
1/8/2011 6:00,1,0,0,2,6.56,8.335,74,11.0014,0,2,2
1/8/2011 18:00,1,0,0,1,5.74,6.06,39,19.9995,3,52,55
1/9/2011 0:00,1,0,0,1,4.1,3.79,42,26.0027,1,24,25
1/10/2011 9:00,1,0,1,2,5.74,6.06,50,16.9979,2,92,94
1/10/2011 14:00,1,0,1,2,8.2,9.85,40,15.0013,0,47,47
1/10/2011 23:00,1,0,1,1,5.74,7.575,59,11.0014,0,18,18
1/12/2011 0:00,1,0,1,2,6.56,9.85,86,6.0032,0,7,7
1/12/2011 13:00,1,0,1,1,9.02,9.85,44,23.9994,0,49,49
1/16/2011 21:00,1,0,0,1,7.38,9.85,51,11.0014,6,22,28
1/18/2011 20:00,1,0,1,2,9.02,13.635,87,0,0,83,83
1/19/2011 14:00,1,0,1,1,16.4,20.455,58,16.9979,7,68,75
2/1/2011 11:00,1,0,1,2,7.38,12.12,86,0,2,49,51
2/1/2011 19:00,1,0,1,2,9.84,12.12,81,8.9981,3,105,108
2/2/2011 14:00,1,0,1,1,15.58,19.695,82,26.0027,2,61,63
2/2/2011 17:00,1,0,1,1,14.76,15.91,53,35.0008,7,183,190
2/3/2011 9:00,1,0,1,1,6.56,6.82,47,19.9995,6,127,133
2/5/2011 6:00,1,0,0,3,8.2,12.88,100,0,0,4,4
2/7/2011 12:00,1,0,1,2,13.12,17.425,62,0,7,59,66
2/7/2011 22:00,1,0,1,1,11.48,15.15,81,6.0032,3,34,37
2/8/2011 9:00,1,0,1,1,9.84,9.85,52,32.9975,7,128,135
2/10/2011 0:00,1,0,1,3,5.74,6.82,86,12.998,0,16,16
2/10/2011 4:00,1,0,1,2,5.74,6.82,59,15.0013,0,1,1
2/11/2011 14:00,1,0,1,1,12.3,14.395,26,16.9979,17,67,84
2/12/2011 7:00,1,0,0,1,4.92,7.575,80,7.0015,2,9,11
2/12/2011 10:00,1,0,0,1,9.02,10.605,41,16.9979,13,71,84
2/12/2011 22:00,1,0,0,1,9.84,12.88,44,6.0032,6,39,45
2/13/2011 18:00,1,0,0,1,16.4,20.455,32,19.9995,17,78,95
2/14/2011 4:00,1,0,1,1,13.12,15.15,53,19.0012,0,2,2
2/15/2011 14:00,1,0,1,1,13.94,15.91,19,15.0013,10,69,79
2/18/2011 11:00,1,0,1,1,18.04,21.97,72,11.0014,31,82,113
3/2/2011 5:00,1,0,1,1,9.02,10.605,69,15.0013,0,5,5
3/4/2011 11:00,1,0,1,1,11.48,13.635,52,15.0013,16,73,89
3/6/2011 4:00,1,0,0,2,17.22,21.21,88,23.9994,0,3,3
3/6/2011 17:00,1,0,0,3,13.94,15.15,100,19.9995,2,23,25
3/7/2011 3:00,1,0,1,1,8.2,7.575,80,39.0007,0,1,1
3/7/2011 6:00,1,0,1,1,8.2,9.09,75,26.0027,3,31,34
3/7/2011 16:00,1,0,1,1,13.94,15.15,31,23.9994,26,96,122
3/7/2011 21:00,1,0,1,1,11.48,13.635,38,15.0013,1,53,54
3/8/2011 19:00,1,0,1,1,13.94,17.425,31,7.0015,9,141,150
3/9/2011 23:00,1,0,1,3,13.94,16.665,93,12.998,1,17,18
3/11/2011 15:00,1,0,1,2,13.94,15.91,53,16.9979,21,64,85
3/12/2011 13:00,1,0,0,1,14.76,16.665,51,23.9994,62,95,157
3/12/2011 21:00,1,0,0,1,15.58,19.695,62,0,36,46,82
3/13/2011 4:00,1,0,0,1,13.94,16.665,66,11.0014,4,9,13
3/13/2011 9:00,1,0,0,1,16.4,20.455,50,27.9993,8,36,44
3/13/2011 16:00,1,0,0,1,18.86,22.725,41,26.0027,124,132,256
3/13/2011 18:00,1,0,0,1,16.4,20.455,43,23.9994,55,92,147
3/13/2011 22:00,1,0,0,1,12.3,13.635,56,22.0028,8,29,37
3/14/2011 6:00,1,0,1,1,10.66,13.635,65,8.9981,1,27,28
3/14/2011 18:00,1,0,1,1,14.76,18.18,40,7.0015,25,210,235
3/14/2011 22:00,1,0,1,1,13.12,16.665,49,7.0015,4,43,47
3/15/2011 0:00,1,0,1,1,13.12,17.425,53,0,7,7,14
3/16/2011 1:00,1,0,1,3,12.3,13.635,100,19.9995,1,2,3
3/16/2011 22:00,1,0,1,2,16.4,20.455,62,26.0027,11,48,59
3/17/2011 2:00,1,0,1,1,13.94,15.15,71,19.9995,3,5,8
3/17/2011 7:00,1,0,1,1,13.12,16.665,76,8.9981,12,128,140
3/17/2011 17:00,1,0,1,1,20.5,24.24,42,12.998,48,265,313
3/18/2011 6:00,1,0,1,1,16.4,20.455,66,12.998,1,35,36
3/18/2011 10:00,1,0,1,1,21.32,25,53,19.0012,43,74,117
3/19/2011 2:00,1,0,0,2,22.96,26.515,43,15.0013,5,20,25
3/19/2011 10:00,1,0,0,1,18.04,21.97,38,27.9993,55,85,140
4/1/2011 0:00,2,0,1,3,10.66,12.88,100,11.0014,0,6,6
4/3/2011 8:00,2,0,0,1,13.94,16.665,57,11.0014,18,44,62
4/4/2011 0:00,2,0,1,1,16.4,20.455,50,15.0013,1,5,6
4/4/2011 10:00,2,0,1,2,22.14,25.76,45,23.9994,35,55,90
4/6/2011 15:00,2,0,1,1,21.32,25,32,22.0028,34,83,117
4/6/2011 22:00,2,0,1,1,18.86,22.725,41,19.0012,13,71,84
4/7/2011 8:00,2,0,1,1,14.76,17.425,76,12.998,23,291,314
4/7/2011 10:00,2,0,1,2,17.22,21.21,67,7.0015,29,66,95
4/10/2011 6:00,2,0,0,2,14.76,18.18,93,6.0032,0,4,4
4/10/2011 21:00,2,0,0,1,18.04,21.97,88,12.998,18,77,95
4/11/2011 12:00,2,0,1,2,24.6,29.545,73,22.0028,37,97,134
4/12/2011 0:00,2,0,1,2,25.42,31.06,50,7.0015,11,13,24
4/13/2011 23:00,2,0,1,1,16.4,20.455,71,8.9981,5,57,62
4/14/2011 22:00,2,0,1,1,19.68,23.485,55,7.0015,22,82,104
4/15/2011 0:00,2,1,0,1,18.04,21.97,67,0,6,21,27
4/15/2011 18:00,2,1,0,2,18.86,22.725,67,26.0027,47,216,263
4/15/2011 19:00,2,1,0,1,17.22,21.21,77,26.0027,41,168,209
4/17/2011 0:00,2,0,0,2,18.04,21.97,77,19.0012,4,29,33
4/17/2011 7:00,2,0,0,1,14.76,16.665,50,23.9994,2,14,16
5/1/2011 16:00,2,0,0,2,20.5,24.24,72,12.998,75,139,214
5/4/2011 6:00,2,0,1,3,13.94,15.15,93,26.0027,0,21,21
5/7/2011 12:00,2,0,0,1,24.6,31.06,40,12.998,129,244,373
5/7/2011 22:00,2,0,0,1,22.14,25.76,49,12.998,26,94,120
5/8/2011 2:00,2,0,0,1,19.68,23.485,63,0,17,42,59
5/9/2011 2:00,2,0,1,1,18.04,21.97,94,0,6,2,8
5/9/2011 6:00,2,0,1,1,18.04,21.97,72,16.9979,2,87,89
5/10/2011 8:00,2,0,1,2,20.5,24.24,51,7.0015,28,397,425
5/10/2011 17:00,2,0,1,1,26.24,31.06,33,0,79,532,611
5/11/2011 14:00,2,0,1,1,25.42,31.06,53,6.0032,36,141,177
5/12/2011 8:00,2,0,1,1,19.68,23.485,82,12.998,27,394,421
5/12/2011 9:00,2,0,1,2,20.5,24.24,77,19.0012,21,191,212
5/15/2011 3:00,2,0,0,2,21.32,25,100,0,11,21,32
5/16/2011 12:00,2,0,1,1,27.06,31.06,54,6.0032,72,137,209
5/17/2011 1:00,2,0,1,3,22.96,26.515,88,0,7,6,13
5/17/2011 13:00,2,0,1,2,22.96,26.515,88,22.0028,31,141,172
5/18/2011 10:00,2,0,1,3,22.14,25.76,88,19.0012,33,73,106
5/19/2011 18:00,2,0,1,1,24.6,31.06,55,11.0014,59,454,513
6/2/2011 6:00,2,0,1,1,27.06,31.06,39,8.9981,7,106,113
6/3/2011 21:00,2,0,1,1,26.24,31.06,29,7.0015,51,196,247
6/3/2011 22:00,2,0,1,1,25.42,31.06,35,0,26,145,171
6/4/2011 1:00,2,0,0,1,22.14,25.76,64,7.0015,14,80,94
6/4/2011 3:00,2,0,0,1,21.32,25,59,7.0015,8,10,18
6/4/2011 4:00,2,0,0,1,21.32,25,59,6.0032,4,11,15
6/4/2011 15:00,2,0,0,2,30.34,32.575,27,27.9993,180,224,404
6/5/2011 18:00,2,0,0,1,28.7,32.575,58,7.0015,124,239,363
6/7/2011 1:00,2,0,1,1,25.42,30.305,69,8.9981,2,2,4
6/7/2011 19:00,2,0,1,1,31.16,34.09,48,16.9979,69,355,424
6/9/2011 2:00,2,0,1,2,29.52,35.605,84,11.0014,0,6,6
6/9/2011 7:00,2,0,1,2,29.52,34.85,79,8.9981,31,283,314
6/10/2011 7:00,2,0,1,1,29.52,34.09,66,7.0015,25,242,267
6/10/2011 17:00,2,0,1,1,33.62,38.635,52,15.0013,63,454,517
6/14/2011 14:00,2,0,1,2,26.24,31.06,47,12.998,41,118,159
6/15/2011 8:00,2,0,1,1,23.78,27.275,53,8.9981,53,445,498
6/15/2011 14:00,2,0,1,1,30.34,32.575,28,0,50,128,178
6/16/2011 16:00,2,0,1,3,27.06,31.06,69,12.998,36,258,294
6/18/2011 17:00,2,0,0,2,31.16,34.09,48,11.0014,210,239,449
7/1/2011 16:00,3,0,1,1,33.62,34.85,17,0,85,342,427
7/1/2011 20:00,3,0,1,1,29.52,32.575,42,15.0013,84,185,269
7/2/2011 5:00,3,0,0,1,23.78,27.275,73,7.0015,1,13,14
7/3/2011 15:00,3,0,0,1,34.44,40.15,53,19.9995,194,182,376
7/4/2011 23:00,3,1,0,2,29.52,34.09,70,7.0015,44,94,138
7/5/2011 5:00,3,0,1,1,27.06,31.06,69,0,1,19,20
7/6/2011 1:00,3,0,1,1,28.7,33.335,74,8.9981,4,11,15
7/6/2011 4:00,3,0,1,2,27.88,31.82,83,6.0032,0,6,6
7/6/2011 20:00,3,0,1,1,29.52,34.85,74,16.9979,55,257,312
7/7/2011 13:00,3,0,1,1,35.26,39.395,41,0,48,107,155
7/8/2011 20:00,3,0,1,1,27.06,30.305,83,11.0014,30,220,250
7/8/2011 21:00,3,0,1,2,27.06,30.305,83,16.9979,46,158,204
7/9/2011 15:00,3,0,0,1,34.44,36.365,34,6.0032,182,220,402
7/11/2011 2:00,3,0,1,1,28.7,32.575,61,15.0013,8,4,12
7/11/2011 11:00,3,0,1,1,33.62,39.395,56,19.9995,39,89,128
7/13/2011 16:00,3,0,1,2,27.06,29.545,89,0,23,118,141
7/15/2011 6:00,3,0,1,2,24.6,29.545,73,7.0015,12,108,120
7/16/2011 12:00,3,0,0,1,31.16,34.09,43,19.0012,187,276,463
7/16/2011 23:00,3,0,0,1,27.88,31.82,61,15.0013,61,107,168
7/17/2011 1:00,3,0,0,1,26.24,30.305,69,12.998,16,86,102
7/17/2011 4:00,3,0,0,1,25.42,29.545,73,11.0014,4,6,10
7/18/2011 8:00,3,0,1,1,28.7,32.575,70,12.998,18,329,347
7/18/2011 17:00,3,0,1,1,34.44,39.395,49,22.0028,72,473,545
7/19/2011 5:00,3,0,1,2,28.7,33.335,74,7.0015,0,19,19
7/19/2011 8:00,3,0,1,2,31.16,36.365,70,11.0014,31,381,412
8/2/2011 11:00,3,0,1,1,34.44,36.365,32,27.9993,32,96,128
8/4/2011 14:00,3,0,1,1,32.8,37.88,55,11.0014,53,114,167
8/4/2011 21:00,3,0,1,2,28.7,33.335,74,12.998,25,186,211
8/6/2011 13:00,3,0,0,2,32.8,38.635,59,22.0028,176,265,441
8/6/2011 14:00,3,0,0,1,33.62,38.635,52,16.9979,176,204,380
8/6/2011 20:00,3,0,0,3,29.52,34.85,79,19.0012,58,79,137
8/6/2011 23:00,3,0,0,3,28.7,33.335,84,19.0012,29,79,108
8/8/2011 0:00,3,0,1,1,28.7,33.335,79,7.0015,13,17,30
8/14/2011 5:00,3,0,0,2,26.24,28.03,94,11.0014,1,9,10
8/14/2011 7:00,3,0,0,2,27.06,29.545,89,12.998,4,20,24
8/15/2011 20:00,3,0,1,1,27.06,31.06,74,8.9981,45,240,285
8/16/2011 11:00,3,0,1,1,30.34,33.335,51,15.0013,40,110,150
8/17/2011 18:00,3,0,1,1,31.16,34.85,55,16.9979,86,470,556
8/17/2011 20:00,3,0,1,1,30.34,34.09,58,16.9979,37,243,280
9/2/2011 17:00,3,0,1,2,27.88,31.82,65,11.0014,78,377,455
9/5/2011 18:00,3,1,0,1,27.06,29.545,89,6.0032,31,92,123
9/6/2011 6:00,3,0,1,2,22.14,25.76,88,22.0028,0,72,72
9/10/2011 11:00,3,0,0,1,29.52,34.09,62,16.9979,108,252,360
9/11/2011 18:00,3,0,0,1,27.88,31.82,65,19.9995,110,229,339
9/12/2011 1:00,3,0,1,1,22.96,26.515,88,0,1,11,12
9/12/2011 21:00,3,0,1,1,26.24,30.305,73,6.0032,29,166,195
9/13/2011 15:00,3,0,1,1,30.34,33.335,51,19.9995,35,145,180
9/14/2011 4:00,3,0,1,1,24.6,28.03,83,6.0032,1,8,9
9/14/2011 5:00,3,0,1,1,23.78,27.275,88,7.0015,1,30,31
9/14/2011 6:00,3,0,1,1,23.78,27.275,88,7.0015,7,138,145
9/15/2011 7:00,3,0,1,2,25.42,29.545,78,12.998,17,321,338
9/16/2011 20:00,3,0,1,2,20.5,24.24,55,0,41,184,225
9/17/2011 0:00,3,0,0,1,18.86,22.725,72,11.0014,28,80,108
9/17/2011 6:00,3,0,0,2,18.86,22.725,72,15.0013,5,17,22
9/17/2011 21:00,3,0,0,2,20.5,24.24,72,12.998,49,121,170
9/18/2011 14:00,3,0,0,2,23.78,27.275,56,8.9981,127,184,311
9/18/2011 18:00,3,0,0,2,22.96,26.515,60,7.0015,66,223,289
9/18/2011 21:00,3,0,0,2,22.14,25.76,68,6.0032,37,110,147
10/1/2011 19:00,4,0,0,2,15.58,19.695,82,12.998,27,99,126
10/2/2011 10:00,4,0,0,2,14.76,16.665,71,19.0012,60,188,248
10/3/2011 6:00,4,0,1,2,14.76,18.94,71,0,3,91,94
10/4/2011 15:00,4,0,1,1,23.78,27.275,56,19.0012,28,166,194
10/5/2011 5:00,4,0,1,1,18.04,21.97,82,8.9981,3,29,32
10/6/2011 23:00,4,0,1,1,18.04,21.97,88,6.0032,18,81,99
10/7/2011 6:00,4,0,1,1,17.22,21.21,88,0,3,84,87
10/7/2011 16:00,4,0,1,1,26.24,31.06,44,0,73,346,419
10/7/2011 18:00,4,0,1,1,22.96,26.515,60,6.0032,94,371,465
10/8/2011 19:00,4,0,0,1,22.14,25.76,68,8.9981,76,172,248
10/10/2011 3:00,4,1,0,1,18.86,22.725,88,0,2,9,11
10/10/2011 22:00,4,1,0,1,22.96,26.515,88,6.0032,22,104,126
10/11/2011 22:00,4,0,1,2,22.96,26.515,83,12.998,27,120,147
10/12/2011 4:00,4,0,1,3,22.14,25.76,94,26.0027,1,6,7
10/14/2011 2:00,4,0,1,1,22.96,26.515,94,11.0014,0,6,6
10/14/2011 9:00,4,0,1,2,22.96,26.515,94,15.0013,16,164,180
10/16/2011 12:00,4,0,0,1,23.78,27.275,35,16.9979,167,277,444
10/18/2011 10:00,4,0,1,2,22.96,26.515,68,0,27,75,102
11/1/2011 2:00,4,0,1,2,14.76,17.425,81,11.0014,1,3,4
11/1/2011 3:00,4,0,1,2,14.76,17.425,81,8.9981,1,5,6
11/1/2011 19:00,4,0,1,1,17.22,21.21,58,6.0032,39,274,313
11/1/2011 22:00,4,0,1,1,14.76,18.94,81,0,5,91,96
11/3/2011 16:00,4,0,1,1,21.32,25,48,12.998,33,234,267
11/4/2011 11:00,4,0,1,2,18.04,21.97,67,30.0026,34,128,162
11/4/2011 19:00,4,0,1,1,16.4,20.455,37,23.9994,14,182,196
11/5/2011 21:00,4,0,0,1,13.12,17.425,66,0,19,99,118
11/6/2011 2:00,4,0,0,1,10.66,15.15,81,0,6,23,29
11/6/2011 12:00,4,0,0,1,18.04,21.97,54,0,120,226,346
11/7/2011 19:00,4,0,1,1,18.86,22.725,59,0,20,280,300
11/9/2011 9:00,4,0,1,1,13.94,18.18,93,0,22,197,219
11/9/2011 19:00,4,0,1,1,18.04,21.97,72,7.0015,12,292,304
11/10/2011 5:00,4,0,1,2,14.76,17.425,100,8.9981,1,22,23
11/12/2011 8:00,4,0,0,1,10.66,12.88,70,12.998,14,87,101
11/12/2011 18:00,4,0,0,1,17.22,21.21,58,12.998,53,150,203
11/14/2011 0:00,4,0,1,1,18.86,22.725,59,19.0012,8,22,30
11/14/2011 13:00,4,0,1,1,24.6,31.06,49,26.0027,50,153,203
11/14/2011 16:00,4,0,1,1,25.42,31.06,46,27.9993,51,264,315
11/15/2011 12:00,4,0,1,2,22.14,25.76,68,0,28,148,176
11/16/2011 5:00,4,0,1,3,18.86,22.725,94,7.0015,0,13,13
11/17/2011 1:00,4,0,1,2,17.22,21.21,82,11.0014,0,5,5
11/17/2011 10:00,4,0,1,2,13.94,15.15,61,22.0028,7,74,81
11/17/2011 22:00,4,0,1,1,10.66,12.12,52,16.9979,1,83,84
11/17/2011 23:00,4,0,1,1,10.66,12.88,52,15.0013,0,58,58
11/18/2011 1:00,4,0,1,1,10.66,11.365,44,22.0028,0,10,10
11/18/2011 9:00,4,0,1,1,10.66,12.88,41,12.998,6,207,213
11/18/2011 16:00,4,0,1,1,13.94,16.665,29,8.9981,19,190,209
11/19/2011 9:00,4,0,0,1,11.48,12.88,52,19.9995,12,130,142
12/1/2011 17:00,4,0,1,1,14.76,17.425,46,8.9981,9,409,418
12/2/2011 1:00,4,0,1,1,9.84,14.395,75,0,1,14,15
12/2/2011 6:00,4,0,1,1,9.02,13.635,80,0,3,84,87
12/2/2011 17:00,4,0,1,1,17.22,21.21,38,0,20,391,411
12/4/2011 6:00,4,0,0,1,9.84,14.395,93,0,1,3,4
12/4/2011 7:00,4,0,0,1,10.66,15.15,87,0,3,23,26
12/4/2011 13:00,4,0,0,1,16.4,20.455,66,15.0013,88,269,357
12/5/2011 11:00,4,0,1,2,14.76,18.18,87,6.0032,17,106,123
12/5/2011 22:00,4,0,1,2,18.04,21.97,88,8.9981,12,94,106
12/6/2011 3:00,4,0,1,2,18.86,22.725,87,12.998,0,3,3
12/7/2011 18:00,4,0,1,3,16.4,20.455,94,19.9995,3,48,51
12/7/2011 22:00,4,0,1,3,9.84,9.85,93,30.0026,0,13,13
12/8/2011 21:00,4,0,1,1,11.48,15.15,61,6.0032,4,135,139
12/10/2011 11:00,4,0,0,1,13.12,14.395,53,27.9993,44,192,236
12/10/2011 12:00,4,0,0,1,13.12,14.395,45,27.9993,48,235,283
12/11/2011 8:00,4,0,0,1,6.56,11.365,69,0,4,68,72
12/11/2011 11:00,4,0,0,1,10.66,15.15,35,0,31,166,197
12/11/2011 23:00,4,0,0,1,8.2,12.88,69,0,4,31,35
