Year,Month,TempDiff
1850,1,-0.371
1850,2,-0.346
1850,3,-0.607
1850,4,-0.419
1850,5,-0.246
1850,6,-0.24
1850,7,-0.207
1850,8,-0.344
1850,9,-0.404
1850,10,-0.374
1850,11,-0.188
1850,12,-0.265
1851,1,-0.353
1851,2,-0.334
1851,3,-0.313
1851,4,-0.397
1851,5,-0.285
1851,6,-0.22
1851,7,-0.228
1851,8,-0.23
1851,9,-0.122
1851,10,-0.086
1851,11,0.063
1851,12,-0.013
1852,1,-0.333
1852,2,-0.463
1852,3,-0.358
1852,4,-0.342
1852,5,-0.23
1852,6,-0.027
1852,7,-0.059
1852,8,-0.239
1852,9,-0.106
1852,10,-0.142
1852,11,-0.107
1852,12,-0.047
1853,1,-0.268
1853,2,-0.2
1853,3,-0.139
1853,4,-0.229
1853,5,-0.248
1853,6,-0.187
1853,7,-0.122
1853,8,-0.206
1853,9,-0.383
1853,10,-0.405
1853,11,-0.175
1853,12,-0.276
1854,1,-0.265
1854,2,-0.289
1854,3,-0.272
1854,4,-0.248
1854,5,-0.263
1854,6,-0.198
1854,7,-0.312
1854,8,-0.232
1854,9,-0.125
1854,10,-0.295
1854,11,-0.34
1854,12,-0.336
1855,1,-0.135
1855,2,-0.212
1855,3,-0.213
1855,4,-0.282
1855,5,-0.408
1855,6,-0.188
1855,7,-0.32
1855,8,-0.195
1855,9,-0.308
1855,10,-0.242
1855,11,-0.111
1855,12,-0.185
1856,1,-0.149
1856,2,-0.301
1856,3,-0.307
1856,4,-0.369
1856,5,-0.049
1856,6,-0.393
1856,7,-0.325
1856,8,-0.298
1856,9,-0.418
1856,10,-0.343
1856,11,-0.483
1856,12,-0.478
1857,1,-0.435
1857,2,-0.39
1857,3,-0.378
1857,4,-0.463
1857,5,-0.488
1857,6,-0.303
1857,7,-0.613
1857,8,-0.402
1857,9,-0.34
1857,10,-0.474
1857,11,-0.579
1857,12,-0.569
1858,1,-0.639
1858,2,-0.522
1858,3,-0.468
1858,4,-0.526
1858,5,-0.713
1858,6,-0.744
1858,7,-0.43
1858,8,-0.306
1858,9,-0.372
1858,10,-0.263
1858,11,-0.372
1858,12,-0.31
1859,1,-0.419
1859,2,-0.37
1859,3,-0.409
1859,4,-0.209
1859,5,-0.393
1859,6,-0.33
1859,7,-0.41
1859,8,-0.228
1859,9,-0.614
1859,10,-0.247
1859,11,-0.341
1859,12,-0.201
1860,1,-0.221
1860,2,-0.268
1860,3,-0.324
1860,4,-0.314
1860,5,-0.349
1860,6,-0.449
1860,7,-0.124
1860,8,-0.231
1860,9,-0.249
1860,10,-0.156
1860,11,-0.238
1860,12,-0.363
1861,1,-0.404
1861,2,-0.739
1861,3,-0.68
1861,4,-0.135
1861,5,-0.603
1861,6,-0.354
1861,7,-0.481
1861,8,-0.201
1861,9,-0.353
1861,10,-0.408
1861,11,-0.412
1861,12,-0.275
1862,1,-0.456
1862,2,-0.381
1862,3,-0.309
1862,4,-0.242
1862,5,-0.189
1862,6,-0.31
1862,7,-0.374
1862,8,-0.738
1862,9,-0.479
1862,10,-0.409
1862,11,-0.532
1862,12,-0.57
1863,1,-0.378
1863,2,-0.299
1863,3,-0.404
1863,4,-0.217
1863,5,-0.43
1863,6,-0.424
1863,7,-0.383
1863,8,-0.412
1863,9,-0.461
1863,10,-0.335
1863,11,-0.395
1863,12,-0.35
1864,1,-0.697
1864,2,-0.655
1864,3,-0.556
1864,4,-0.464
1864,5,-0.261
1864,6,-0.344
1864,7,-0.26
1864,8,-0.423
1864,9,-0.473
1864,10,-0.406
1864,11,-0.097
1864,12,-0.225
1865,1,-0.223
1865,2,-0.141
1865,3,-0.164
1865,4,-0.187
1865,5,-0.336
1865,6,-0.304
1865,7,-0.285
1865,8,-0.201
1865,9,-0.304
1865,10,-0.212
1865,11,-0.373
1865,12,-0.26
1866,1,-0.309
1866,2,-0.09
1866,3,-0.478
1866,4,-0.299
1866,5,-0.336
1866,6,0.037
1866,7,-0.028
1866,8,-0.19
1866,9,-0.352
1866,10,-0.159
1866,11,-0.156
1866,12,-0.386
1867,1,-0.137
1867,2,-0.306
1867,3,-0.132
1867,4,-0.142
1867,5,-0.228
1867,6,-0.333
1867,7,-0.198
1867,8,-0.284
1867,9,-0.128
1867,10,-0.247
1867,11,-0.172
1867,12,-0.458
1868,1,-0.409
1868,2,-0.271
1868,3,-0.04
1868,4,-0.256
1868,5,-0.243
1868,6,-0.444
1868,7,-0.102
1868,8,-0.196
1868,9,-0.158
1868,10,-0.267
1868,11,-0.215
1868,12,-0.21
1869,1,-0.32
1869,2,-0.118
1869,3,-0.384
1869,4,-0.159
1869,5,-0.229
1869,6,-0.384
1869,7,-0.325
1869,8,-0.231
1869,9,-0.259
1869,10,-0.263
1869,11,-0.276
1869,12,-0.326
1870,1,-0.189
1870,2,-0.248
1870,3,-0.229
1870,4,-0.159
1870,5,-0.322
1870,6,-0.337
1870,7,-0.079
1870,8,-0.172
1870,9,-0.298
1870,10,-0.343
1870,11,-0.244
1870,12,-0.265
1871,1,-0.261
1871,2,-0.177
1871,3,-0.074
1871,4,-0.152
1871,5,-0.197
1871,6,-0.215
1871,7,-0.093
1871,8,-0.335
1871,9,-0.415
1871,10,-0.491
1871,11,-0.194
1871,12,-0.261
1872,1,-0.342
1872,2,-0.329
1872,3,-0.394
1872,4,-0.237
1872,5,-0.182
1872,6,-0.272
1872,7,-0.126
1872,8,-0.07
1872,9,-0.173
1872,10,-0.279
1872,11,-0.159
1872,12,-0.292
1873,1,-0.058
1873,2,-0.245
1873,3,-0.218
1873,4,-0.303
1873,5,-0.336
1873,6,-0.407
1873,7,-0.207
1873,8,-0.241
1873,9,-0.342
1873,10,-0.396
1873,11,-0.367
1873,12,-0.403
1874,1,-0.207
1874,2,-0.48
1874,3,-0.394
1874,4,-0.441
1874,5,-0.402
1874,6,-0.557
1874,7,-0.218
1874,8,-0.423
1874,9,-0.318
1874,10,-0.516
1874,11,-0.419
1874,12,-0.448
1875,1,-0.285
1875,2,-0.194
1875,3,-0.322
1875,4,-0.292
1875,5,-0.17
1875,6,-0.306
1875,7,-0.359
1875,8,-0.166
1875,9,-0.122
1875,10,-0.201
1875,11,-0.233
1875,12,-0.401
1876,1,-0.365
1876,2,-0.314
1876,3,-0.312
1876,4,-0.318
1876,5,-0.451
1876,6,-0.426
1876,7,-0.261
1876,8,-0.32
1876,9,-0.515
1876,10,-0.354
1876,11,-0.337
1876,12,-0.321
1877,1,-0.358
1877,2,0.114
1877,3,-0.118
1877,4,-0.118
1877,5,-0.328
1877,6,-0.133
1877,7,-0.072
1877,8,0.077
1877,9,0.078
1877,10,0.221
1877,11,0.073
1877,12,0.112
1878,1,0.304
1878,2,0.286
1878,3,0.159
1878,4,0.291
1878,5,0.031
1878,6,-0.014
1878,7,-0.073
1878,8,-0.064
1878,9,-0.069
1878,10,-0.213
1878,11,-0.266
1878,12,-0.204
1879,1,-0.156
1879,2,-0.115
1879,3,-0.075
1879,4,-0.162
1879,5,-0.208
1879,6,-0.252
1879,7,-0.265
1879,8,-0.146
1879,9,-0.203
1879,10,-0.205
1879,11,-0.22
1879,12,-0.297
1880,1,-0.218
1880,2,-0.13
1880,3,0.027
1880,4,-0.095
1880,5,-0.314
1880,6,-0.36
1880,7,-0.237
1880,8,-0.137
1880,9,-0.24
1880,10,-0.221
1880,11,-0.177
1880,12,-0.175
1881,1,-0.074
1881,2,-0.095
1881,3,-0.014
1881,4,-0.039
1881,5,-0.047
1881,6,-0.153
1881,7,-0.188
1881,8,-0.188
1881,9,-0.295
1881,10,-0.224
1881,11,-0.263
1881,12,-0.19
1882,1,-0.111
1882,2,-0.106
1882,3,-0.12
1882,4,-0.166
1882,5,-0.276
1882,6,-0.256
1882,7,-0.147
1882,8,-0.287
1882,9,-0.198
1882,10,-0.281
1882,11,-0.163
1882,12,-0.316
1883,1,-0.184
1883,2,-0.133
1883,3,-0.16
1883,4,-0.31
1883,5,-0.209
1883,6,-0.162
1883,7,-0.214
1883,8,-0.199
1883,9,-0.283
1883,10,-0.387
1883,11,-0.262
1883,12,-0.342
1884,1,-0.385
1884,2,-0.16
1884,3,-0.308
1884,4,-0.348
1884,5,-0.282
1884,6,-0.374
1884,7,-0.394
1884,8,-0.386
1884,9,-0.318
1884,10,-0.31
1884,11,-0.443
1884,12,-0.372
1885,1,-0.272
1885,2,-0.31
1885,3,-0.38
1885,4,-0.398
1885,5,-0.418
1885,6,-0.451
1885,7,-0.332
1885,8,-0.459
1885,9,-0.325
1885,10,-0.188
1885,11,-0.191
1885,12,-0.19
1886,1,-0.254
1886,2,-0.284
1886,3,-0.267
1886,4,-0.345
1886,5,-0.176
1886,6,-0.363
1886,7,-0.321
1886,8,-0.374
1886,9,-0.466
1886,10,-0.331
1886,11,-0.373
1886,12,-0.493
1887,1,-0.479
1887,2,-0.512
1887,3,-0.439
1887,4,-0.402
1887,5,-0.436
1887,6,-0.404
1887,7,-0.286
1887,8,-0.334
1887,9,-0.426
1887,10,-0.382
1887,11,-0.386
1887,12,-0.335
1888,1,-0.388
1888,2,-0.283
1888,3,-0.286
1888,4,-0.255
1888,5,-0.271
1888,6,-0.255
1888,7,-0.329
1888,8,-0.298
1888,9,-0.24
1888,10,-0.064
1888,11,-0.079
1888,12,-0.083
1889,1,0.09
1889,2,0.022
1889,3,-0.005
1889,4,-0.043
1889,5,-0.129
1889,6,-0.152
1889,7,-0.192
1889,8,-0.25
1889,9,-0.347
1889,10,-0.285
1889,11,-0.232
1889,12,-0.281
1890,1,-0.336
1890,2,-0.333
1890,3,-0.422
1890,4,-0.374
1890,5,-0.361
1890,6,-0.39
1890,7,-0.491
1890,8,-0.485
1890,9,-0.562
1890,10,-0.52
1890,11,-0.474
1890,12,-0.348
1891,1,-0.399
1891,2,-0.296
1891,3,-0.239
1891,4,-0.248
1891,5,-0.132
1891,6,-0.233
1891,7,-0.3
1891,8,-0.297
1891,9,-0.217
1891,10,-0.253
1891,11,-0.357
1891,12,-0.282
1892,1,-0.256
1892,2,-0.139
1892,3,-0.304
1892,4,-0.354
1892,5,-0.317
1892,6,-0.486
1892,7,-0.582
1892,8,-0.498
1892,9,-0.404
1892,10,-0.504
1892,11,-0.515
1892,12,-0.541
1893,1,-0.452
1893,2,-0.36
1893,3,-0.31
1893,4,-0.511
1893,5,-0.479
1893,6,-0.447
1893,7,-0.296
1893,8,-0.292
1893,9,-0.485
1893,10,-0.307
1893,11,-0.429
1893,12,-0.396
1894,1,-0.417
1894,2,-0.439
1894,3,-0.492
1894,4,-0.395
1894,5,-0.463
1894,6,-0.475
1894,7,-0.299
1894,8,-0.399
1894,9,-0.402
1894,10,-0.458
1894,11,-0.38
1894,12,-0.406
1895,1,-0.269
1895,2,-0.319
1895,3,-0.451
1895,4,-0.426
1895,5,-0.406
1895,6,-0.323
1895,7,-0.305
1895,8,-0.249
1895,9,-0.359
1895,10,-0.331
1895,11,-0.226
1895,12,-0.307
1896,1,-0.215
1896,2,-0.209
1896,3,-0.169
1896,4,-0.159
1896,5,-0.186
1896,6,-0.129
1896,7,-0.108
1896,8,-0.043
1896,9,-0.064
1896,10,-0.221
1896,11,-0.014
1896,12,-0.01
1897,1,-0.052
1897,2,-0.05
1897,3,0.048
1897,4,-0.065
1897,5,-0.106
1897,6,-0.162
1897,7,-0.2
1897,8,-0.182
1897,9,-0.259
1897,10,-0.321
1897,11,-0.383
1897,12,-0.379
1898,1,-0.265
1898,2,-0.345
1898,3,-0.375
1898,4,-0.508
1898,5,-0.464
1898,6,-0.355
1898,7,-0.392
1898,8,-0.371
1898,9,-0.391
1898,10,-0.509
1898,11,-0.435
1898,12,-0.457
1899,1,-0.305
1899,2,-0.347
1899,3,-0.368
1899,4,-0.355
1899,5,-0.254
1899,6,-0.319
1899,7,-0.283
1899,8,-0.156
1899,9,-0.226
1899,10,-0.263
1899,11,-0.184
1899,12,-0.296
1900,1,-0.15
1900,2,-0.017
1900,3,-0.224
1900,4,-0.149
1900,5,-0.319
1900,6,-0.217
1900,7,-0.174
1900,8,-0.221
1900,9,-0.234
1900,10,-0.235
1900,11,-0.244
1900,12,-0.228
1901,1,-0.166
1901,2,-0.212
1901,3,-0.373
1901,4,-0.278
1901,5,-0.25
1901,6,-0.268
1901,7,-0.308
1901,8,-0.281
1901,9,-0.412
1901,10,-0.367
1901,11,-0.478
1901,12,-0.453
1902,1,-0.444
1902,2,-0.414
1902,3,-0.404
1902,4,-0.398
1902,5,-0.402
1902,6,-0.51
1902,7,-0.407
1902,8,-0.418
1902,9,-0.368
1902,10,-0.428
1902,11,-0.394
1902,12,-0.336
1903,1,-0.338
1903,2,-0.347
1903,3,-0.375
1903,4,-0.468
1903,5,-0.434
1903,6,-0.544
1903,7,-0.525
1903,8,-0.698
1903,9,-0.579
1903,10,-0.692
1903,11,-0.641
1903,12,-0.582
1904,1,-0.605
1904,2,-0.593
1904,3,-0.599
1904,4,-0.527
1904,5,-0.545
1904,6,-0.526
1904,7,-0.507
1904,8,-0.512
1904,9,-0.481
1904,10,-0.523
1904,11,-0.515
1904,12,-0.459
1905,1,-0.446
1905,2,-0.478
1905,3,-0.448
1905,4,-0.501
1905,5,-0.338
1905,6,-0.355
1905,7,-0.264
1905,8,-0.38
1905,9,-0.424
1905,10,-0.41
1905,11,-0.389
1905,12,-0.311
1906,1,-0.163
1906,2,-0.172
1906,3,-0.226
1906,4,-0.259
1906,5,-0.474
1906,6,-0.367
1906,7,-0.371
1906,8,-0.379
1906,9,-0.437
1906,10,-0.43
1906,11,-0.418
1906,12,-0.448
1907,1,-0.372
1907,2,-0.463
1907,3,-0.327
1907,4,-0.399
1907,5,-0.408
1907,6,-0.477
1907,7,-0.414
1907,8,-0.463
1907,9,-0.456
1907,10,-0.455
1907,11,-0.479
1907,12,-0.509
1908,1,-0.505
1908,2,-0.484
1908,3,-0.558
1908,4,-0.558
1908,5,-0.485
1908,6,-0.522
1908,7,-0.525
1908,8,-0.536
1908,9,-0.55
1908,10,-0.56
1908,11,-0.559
1908,12,-0.617
1909,1,-0.527
1909,2,-0.553
1909,3,-0.64
1909,4,-0.527
1909,5,-0.519
1909,6,-0.556
1909,7,-0.638
1909,8,-0.442
1909,9,-0.515
1909,10,-0.565
1909,11,-0.622
1909,12,-0.604
1910,1,-0.494
1910,2,-0.583
1910,3,-0.589
1910,4,-0.563
1910,5,-0.541
1910,6,-0.549
1910,7,-0.604
1910,8,-0.552
1910,9,-0.537
1910,10,-0.518
1910,11,-0.616
1910,12,-0.673
1911,1,-0.534
1911,2,-0.699
1911,3,-0.651
1911,4,-0.744
1911,5,-0.66
1911,6,-0.636
1911,7,-0.608
1911,8,-0.554
1911,9,-0.531
1911,10,-0.498
1911,11,-0.444
1911,12,-0.357
1912,1,-0.343
1912,2,-0.373
1912,3,-0.255
1912,4,-0.319
1912,5,-0.406
1912,6,-0.394
1912,7,-0.403
1912,8,-0.52
1912,9,-0.557
1912,10,-0.594
1912,11,-0.555
1912,12,-0.557
1913,1,-0.515
1913,2,-0.435
1913,3,-0.495
1913,4,-0.522
1913,5,-0.433
1913,6,-0.475
1913,7,-0.499
1913,8,-0.503
1913,9,-0.481
1913,10,-0.436
1913,11,-0.426
1913,12,-0.433
1914,1,-0.363
1914,2,-0.37
1914,3,-0.397
1914,4,-0.389
1914,5,-0.344
1914,6,-0.353
1914,7,-0.379
1914,8,-0.268
1914,9,-0.32
1914,10,-0.208
1914,11,-0.166
1914,12,-0.225
1915,1,-0.174
1915,2,-0.278
1915,3,-0.128
1915,4,-0.203
1915,5,-0.221
1915,6,-0.158
1915,7,-0.13
1915,8,-0.022
1915,9,-0.185
1915,10,-0.235
1915,11,-0.219
1915,12,-0.329
1916,1,-0.353
1916,2,-0.267
1916,3,-0.366
1916,4,-0.367
1916,5,-0.368
1916,6,-0.412
1916,7,-0.392
1916,8,-0.388
1916,9,-0.368
1916,10,-0.435
1916,11,-0.599
1916,12,-0.482
1917,1,-0.698
1917,2,-0.525
1917,3,-0.618
1917,4,-0.417
1917,5,-0.489
1917,6,-0.334
1917,7,-0.268
1917,8,-0.222
1917,9,-0.219
1917,10,-0.33
1917,11,-0.484
1917,12,-0.393
1918,1,-0.459
1918,2,-0.522
1918,3,-0.453
1918,4,-0.441
1918,5,-0.289
1918,6,-0.374
1918,7,-0.347
1918,8,-0.374
1918,9,-0.317
1918,10,-0.291
1918,11,-0.078
1918,12,-0.217
1919,1,-0.196
1919,2,-0.102
1919,3,-0.262
1919,4,-0.175
1919,5,-0.277
1919,6,-0.359
1919,7,-0.469
1919,8,-0.439
1919,9,-0.357
1919,10,-0.343
1919,11,-0.438
1919,12,-0.503
1920,1,-0.375
1920,2,-0.382
1920,3,-0.201
1920,4,-0.306
1920,5,-0.223
1920,6,-0.23
1920,7,-0.303
1920,8,-0.311
1920,9,-0.272
1920,10,-0.206
1920,11,-0.207
1920,12,-0.248
1921,1,-0.324
1921,2,-0.222
1921,3,-0.322
1921,4,-0.278
1921,5,-0.287
1921,6,-0.228
1921,7,-0.187
1921,8,-0.263
1921,9,-0.166
1921,10,-0.127
1921,11,-0.238
1921,12,-0.172
1922,1,-0.317
1922,2,-0.176
1922,3,-0.243
1922,4,-0.309
1922,5,-0.436
1922,6,-0.38
1922,7,-0.257
1922,8,-0.368
1922,9,-0.333
1922,10,-0.343
1922,11,-0.369
1922,12,-0.363
1923,1,-0.389
1923,2,-0.366
1923,3,-0.411
1923,4,-0.241
1923,5,-0.29
1923,6,-0.287
1923,7,-0.332
1923,8,-0.37
1923,9,-0.371
1923,10,-0.349
1923,11,-0.147
1923,12,-0.113
1924,1,-0.234
1924,2,-0.141
1924,3,-0.232
1924,4,-0.15
1924,5,-0.195
1924,6,-0.227
1924,7,-0.26
1924,8,-0.298
1924,9,-0.332
1924,10,-0.372
1924,11,-0.474
1924,12,-0.511
1925,1,-0.432
1925,2,-0.419
1925,3,-0.281
1925,4,-0.357
1925,5,-0.208
1925,6,-0.24
1925,7,-0.169
1925,8,-0.17
1925,9,-0.188
1925,10,-0.234
1925,11,-0.12
1925,12,-0.126
1926,1,-0.099
1926,2,-0.224
1926,3,-0.095
1926,4,-0.078
1926,5,-0.13
1926,6,-0.075
1926,7,-0.188
1926,8,-0.105
1926,9,-0.097
1926,10,-0.082
1926,11,-0.181
1926,12,-0.156
1927,1,-0.216
1927,2,-0.179
1927,3,-0.27
1927,4,-0.204
1927,5,-0.2
1927,6,-0.253
1927,7,-0.165
1927,8,-0.107
1927,9,-0.194
1927,10,-0.143
1927,11,-0.194
1927,12,-0.202
1928,1,-0.112
1928,2,-0.186
1928,3,-0.232
1928,4,-0.203
1928,5,-0.267
1928,6,-0.28
1928,7,-0.172
1928,8,-0.177
1928,9,-0.239
1928,10,-0.223
1928,11,-0.276
1928,12,-0.317
1929,1,-0.352
1929,2,-0.366
1929,3,-0.371
1929,4,-0.298
1929,5,-0.363
1929,6,-0.315
1929,7,-0.343
1929,8,-0.213
1929,9,-0.239
1929,10,-0.255
1929,11,-0.17
1929,12,-0.269
1930,1,-0.29
1930,2,-0.337
1930,3,-0.199
1930,4,-0.18
1930,5,-0.147
1930,6,-0.195
1930,7,-0.125
1930,8,-0.09
1930,9,-0.002
1930,10,-0.033
1930,11,0
1930,12,-0.046
1931,1,-0.014
1931,2,-0.057
1931,3,-0.064
